id|user|brewery|name|abv|rating|style|country|drink_country|drink_city|drink_datetime|notes|creation_datetime|last_updated|country_iso|brew_with|brew_year|search_string
25280|1|The Bruery|Mischievous|11.5|2.5|Spice|USA|USA|Los Angeles|2014-03-01 0:00:00|Brewed in hot-sauce barrels|2015-06-08 2:02:48|2015-06-08 2:02:48|us||\N|The Bruery Mischievous Spice USA 
25300|1|Midnight Sun|Joan of Arctic|6.3|2|American Pale Ale|USA|USA|Berkeley|2014-03-01 0:00:00|With honey and rhubarb|2015-06-08 2:02:49|2015-06-08 2:02:49|us||\N|Midnight Sun Joan of Arctic American Pale Ale USA 
1|1|Florida Beer Company|Sunshine State Pils|5|2.9|Pilsener|USA|USA|Fort Lauderdale|2015-06-01 0:00:00||2015-07-04 0:19:49|2015-07-04 0:19:49|us||\N|Florida Beer Company Sunshine State Pils Pilsener USA 
2|1|Cusqueña||5|2.8|Pale Lager|Peru|USA|Fort Lauderdale|2015-06-01 0:00:00||2015-07-04 0:21:12|2015-07-04 0:21:12|pe||\N|Cusqueña  Pale Lager Peru 
4|1|Sweetwater|Georgia Brown|5.4|2.8|Brown Ale|USA|USA|Atlanta|2015-06-01 0:00:00||2015-07-04 0:22:59|2015-07-04 0:22:59|us||\N|Sweetwater Georgia Brown Brown Ale USA 
25364|1|Sierra Nevada|Yonder Bock|7.7|2.1|Heller Bock|USA|USA|Berkeley|2014-07-01 0:00:00|With Cigar City|2015-06-08 2:02:54|2015-06-08 2:02:54|us|Cigar City|\N|Sierra Nevada Yonder Bock Heller Bock USA Cigar City
5|1|Sweetwater|Blue|4.8|2.4|Fruit Beer|USA|USA|Atlanta|2015-06-01 0:00:00||2015-07-04 0:23:19|2015-07-04 0:23:19|us||\N|Sweetwater Blue Fruit Beer USA 
8|1|Sweetwater|420|5.2|3.4|American Pale Ale|USA|USA|Atlanta|2015-06-01 0:00:00||2015-07-04 0:24:14|2015-07-04 0:24:14|us||\N|Sweetwater 420 American Pale Ale USA 
9|1|Sweetwater|Take Two Pils|5.5|3|Pilsener|USA|USA|Atlanta|2015-06-01 0:00:00||2015-07-04 0:24:39|2015-07-04 0:24:39|us||\N|Sweetwater Take Two Pils Pilsener USA 
10|1|Coronado|Mermaid's Red|5.7|2.5|Amber Ale|USA|USA|Berkeley|2015-06-01 0:00:00||2015-07-04 0:25:24|2015-07-04 0:25:24|us||\N|Coronado Mermaid's Red Amber Ale USA 
24401|1|Carlsberg||3.8|3.9|Pale Lager|Denmark|France|Strasbourg|2010-08-01 0:00:00||2015-06-08 2:02:16|2015-06-08 2:02:16|dk||\N|Carlsberg Bottle Pale Lager Denmark 
